,Algorithm,SeedMovie,loginId,movieId,avgRating,popularityLastYear,ageCurDate
88,PredictedRating,115713,mIc3mNf,904,4.23147,936.0,23180.0
89,PredictedRating,115713,mIc3mNf,3730,4.04671,240.0,15991.0
91,PredictedRating,6727,mIc3mNf,56782,3.96703,1183.0,3675.0
92,PredictedRating,6727,mIc3mNf,1222,4.03886,1679.0,11163.0
93,PredictedRating,6727,mIc3mNf,1258,4.01417,2290.0,13753.0
94,PredictedRating,6727,mIc3mNf,1089,4.0893,2505.0,9493.0
95,PredictedRating,6727,mIc3mNf,64839,3.7978,663.0,3318.0
96,PredictedRating,6727,mIc3mNf,7071,3.96035,48.0,15766.0
97,PredictedRating,6727,mIc3mNf,3681,3.98831,290.0,19023.0
98,PredictedRating,6727,mIc3mNf,2951,3.93952,367.0,19485.0
99,PredictedRating,6727,mIc3mNf,6273,3.94031,44.0,24853.0
100,PredictedRating,6727,mIc3mNf,48738,3.85073,457.0,4130.0
102,PredictedRating,6727,mIc3mNf,3435,4.20044,207.0,26796.0
103,PredictedRating,6727,mIc3mNf,6395,3.24702,15.0,16378.0
104,PredictedRating,2649,mIc3mNf,253,3.50426,802.0,8468.0
105,PredictedRating,2649,mIc3mNf,2455,3.40846,446.0,11478.0
106,PredictedRating,2649,mIc3mNf,2174,3.4761,870.0,10885.0
107,PredictedRating,2649,mIc3mNf,3018,3.49834,138.0,11779.0
108,PredictedRating,2649,mIc3mNf,3832,3.43478,16.0,19614.0
109,PredictedRating,2649,mIc3mNf,1603,2.78626,67.0,7453.0
110,PredictedRating,2649,mIc3mNf,5679,3.3563,1043.0,5570.0
111,PredictedRating,2649,mIc3mNf,3081,3.53325,784.0,6634.0
112,PredictedRating,2649,mIc3mNf,45081,3.22468,458.0,4289.0
113,PredictedRating,2649,mIc3mNf,4105,3.69523,361.0,13243.0
114,PredictedRating,2649,mIc3mNf,1982,3.54057,413.0,14337.0
115,PredictedRating,2649,mIc3mNf,128838,3.26628,241.0,824.0
116,PredictedRating,2649,mIc3mNf,6242,3.58686,132.0,7291.0
117,FilmReleaseDate,81591,OHfqYJh,152077,3.68249,1210.0,679.0
118,FilmReleaseDate,81591,OHfqYJh,139385,3.77443,1799.0,754.0
119,FilmReleaseDate,81591,OHfqYJh,150856,,,
121,FilmReleaseDate,81591,OHfqYJh,136204,3.88846,22.0,874.0
122,FilmReleaseDate,81591,OHfqYJh,140247,3.54043,340.0,894.0
123,FilmReleaseDate,81591,OHfqYJh,128620,3.82212,153.0,951.0
124,FilmReleaseDate,81591,OHfqYJh,131724,4.10191,119.0,1074.0
126,FilmReleaseDate,81591,OHfqYJh,116161,3.3406,207.0,1160.0
127,FilmReleaseDate,81591,OHfqYJh,112552,4.12162,2520.0,1161.0
129,FilmReleaseDate,81591,OHfqYJh,112183,3.72154,1498.0,1188.0
130,TagSimilarity,113741,1sw2BOd,115680,3.55742,205.0,1334.0
131,TagSimilarity,113741,1sw2BOd,8914,3.82096,438.0,4849.0
132,TagSimilarity,113741,1sw2BOd,2232,3.59222,538.0,7068.0
135,TagSimilarity,113741,1sw2BOd,78349,3.59493,307.0,3152.0
137,TagSimilarity,113741,1sw2BOd,4878,3.96677,2440.0,5925.0
138,TagSimilarity,113741,1sw2BOd,54962,3.31827,39.0,3792.0
139,TagSimilarity,113741,1sw2BOd,2594,3.88717,93.0,6851.0
140,TagSimilarity,113741,1sw2BOd,74228,3.62474,253.0,3007.0
143,PredictedRating,32657,mIc3mNf,5971,4.14852,949.0,9021.0
144,PredictedRating,32657,mIc3mNf,6350,4.06042,551.0,11704.0
