,userId,movieId,trailer_recommended,loginId,youtubeTrailerId,positionInList,action,tstamp
0,221515,5995,True,,,,,
1,221515,43376,True,,,,,
2,221515,81845,True,,,,,
3,221515,9,True,,,,,
4,221515,858,True,,,,,
5,221515,2959,True,,,,,
6,253066,1,True,RhshH7F,K26_sDKnvMU,0.0,RatedMovie,2016-05-06 16:27:03
7,253066,48516,True,,,,,
8,253066,157468,True,,,,,
9,253066,157451,True,,,,,
10,253066,157442,True,,,,,
11,253066,157466,True,,,,,
12,253066,157473,True,,,,,
13,253066,157442,True,,,,,
14,253066,157464,True,,,,,
15,253066,157442,True,,,,,
16,253066,157468,True,,,,,
17,253066,157466,True,,,,,
18,253066,157468,True,,,,,
19,253066,157451,True,,,,,
20,253066,108540,True,,,,,
21,253066,152081,True,,,,,
22,253066,98491,True,,,,,
23,253066,60069,True,,,,,
24,253066,138702,True,,,,,
25,271845,1234,True,,,,,
26,253066,157445,True,,,,,
27,253066,157445,True,,,,,
28,253066,157468,True,,,,,
29,253066,157468,True,,,,,
30,253066,157468,True,,,,,
31,253066,157468,True,,,,,
32,253066,157468,True,,,,,
33,253066,157468,True,,,,,
34,253066,157445,True,,,,,
35,253066,157468,True,,,,,
36,253066,157468,True,,,,,
37,253066,157468,True,,,,,
38,253066,157445,True,,,,,
39,253066,157442,True,,,,,
40,253066,157473,True,,,,,
41,253066,157442,True,,,,,
42,253066,157473,True,,,,,
43,253066,157466,True,,,,,
44,221515,150548,True,,,,,
45,253066,157442,True,,,,,
46,253066,157466,True,,,,,
47,253066,157464,True,,,,,
48,253066,157466,True,,,,,
49,253066,157464,True,,,,,
50,253066,157468,True,,,,,
51,253066,157468,True,,,,,
52,253066,157466,True,,,,,
53,253066,157464,True,,,,,
54,253066,157466,True,,,,,
55,253066,157464,True,,,,,
56,253066,157442,True,,,,,
57,253066,157451,True,,,,,
58,253066,157473,True,,,,,
59,253066,157464,True,,,,,
60,253066,157466,True,,,,,
61,253066,157442,True,,,,,
62,253066,157451,True,,,,,
63,253066,157468,True,,,,,
64,279017,152077,True,,,,,
65,279017,139644,True,,,,,
66,279017,116161,True,,,,,
67,279017,113252,True,,,,,
68,279017,114060,True,,,,,
69,279017,113780,True,,,,,
70,279017,133771,True,,,,,
71,279017,139415,True,,,,,
72,279017,114935,True,,,,,
73,279017,113829,True,,,,,
74,264271,495,True,,,,,
75,264271,108727,True,,,,,
76,271347,1923,True,,,,,
77,271347,6287,True,,,,,
78,271347,79592,True,,,,,
79,271347,5481,True,,,,,
80,285610,7,True,,,,,
81,285610,10,True,,,,,
82,285610,1,True,,,,,
83,285610,8,True,,,,,
84,285610,2,True,,,,,
85,285610,120436,True,,,,,
86,134088,2028,True,,,,,
87,285610,3,True,,,,,
88,285610,120436,True,,,,,
89,285610,3,True,,,,,
90,285610,5,True,,,,,
91,285610,3,True,,,,,
92,285610,120436,True,,,,,
93,221515,2701,True,,,,,
94,269354,13,True,,,,,
95,221515,318,True,,,,,
96,221515,79132,True,,,,,
97,221515,7153,True,,,,,
98,221515,4993,True,,,,,
99,221515,2571,True,,,,,
100,253066,1,True,RhshH7F,K26_sDKnvMU,0.0,RatedMovie,2016-05-06 16:27:03
101,253066,7,True,,,,,
102,253066,9,True,,,,,
103,253066,12,True,,,,,
104,253066,9,True,,,,,
105,253066,4,True,,,,,
106,253066,2,True,,,,,
107,253066,13,True,,,,,
108,253066,13,True,,,,,
109,253066,318,True,,,,,
110,253066,2329,True,,,,,
111,253066,356,True,,,,,
112,253066,92259,True,,,,,
113,253066,3147,True,,,,,
114,221515,6,True,,,,,
115,221515,9,True,,,,,
116,253066,632,True,,,,,
117,253066,44555,True,,,,,
118,253066,152077,True,,,,,
119,253066,150548,True,,,,,
120,253066,114494,True,,,,,
121,253066,318,True,,,,,
122,253066,2959,True,,,,,
123,253066,74458,True,,,,,
124,253066,112552,True,,,,,
125,253066,2329,True,,,,,
126,253066,1203,True,,,,,
127,253066,94466,True,,,,,
128,253066,48516,True,,,,,
129,253066,142488,True,,,,,
130,253066,112556,True,,,,,
131,253066,108709,True,,,,,
132,253066,2176,True,,,,,
133,253066,112552,True,,,,,
134,285629,3068,True,,,,,
135,285608,128360,True,lxoat3l,6_UI1GzaWv0,4.0,RatedMovie,2016-05-07 02:43:36
136,230230,32657,True,,,,,
137,271347,4,True,,,,,
138,281742,106782,True,,,,,
139,281742,99114,True,,,,,
140,281742,113862,True,,,,,
141,278377,95510,True,,,,,
142,278377,5349,True,,,,,
143,278377,52722,True,,,,,
144,285694,4,True,,,,,
145,285694,157308,True,,,,,
146,285686,8,True,,,,,
147,285263,3521,True,,,,,
148,225258,7980,True,,,,,
149,274028,127114,True,,,,,
150,274028,142536,True,,,,,
151,274028,138208,True,,,,,
152,283181,105213,True,,,,,
153,283181,55830,True,,,,,
154,249083,140174,True,,,,,
155,285737,115713,True,,,,,
156,285773,123623,True,,,,,
157,285773,123629,True,,,,,
158,279017,296,True,,,,,
159,285783,2858,True,,,,,
160,285783,3897,True,,,,,
161,285783,6711,True,,,,,
162,285783,8784,True,,,,,
163,285783,3949,True,,,,,
164,285783,8949,True,,,,,
165,285783,5945,True,,,,,
166,285783,3556,True,,,,,
167,285783,1952,True,,,,,
168,231160,318,True,,,,,
169,231160,77846,True,,,,,
170,284560,108729,True,,,,,
171,284560,111759,True,,,,,
172,285836,6711,True,,,,,
173,285840,48780,True,,,,,
174,285840,50,True,,,,,
175,285840,152077,True,,,,,
176,285849,139385,True,,,,,
177,285855,6323,True,,,,,
178,266833,2620,True,,,,,
179,266833,4061,True,,,,,
180,266833,42958,True,,,,,
181,266833,3330,True,,,,,
182,266833,1271,True,,,,,
183,266833,3951,True,,,,,
184,266833,7139,True,,,,,
185,266833,105,True,,,,,
186,255247,77854,True,,,,,
187,270944,2109,True,,,,,
188,270944,5541,True,,,,,
189,278377,140247,True,,,,,
190,254673,103483,True,,,,,
191,285139,9,True,,,,,
192,285882,146656,True,,,,,
193,231342,139385,True,,,,,
194,231342,128620,True,,,,,
195,285895,140247,True,,,,,
196,285895,152077,True,,,,,
197,285895,140523,True,fIhVvGT,0Fv3gU-ed7Y,3.0,RatedMovie,2016-05-10 16:11:40
198,285895,144976,True,,,,,
199,134088,122882,True,,,,,
200,134088,65514,True,,,,,
201,285415,65642,True,,,,,
202,283550,13,True,,,,,
203,221515,122920,True,,,,,
204,285319,94864,True,,,,,
205,285319,68237,True,,,,,
206,285319,3300,True,,,,,
207,270473,149354,True,,,,,
208,188142,2670,True,,,,,
209,188142,49220,True,,,,,
210,283181,139855,True,,,,,
211,283181,128838,True,,,,,
212,283181,138208,True,,,,,
213,285919,2,True,,,,,
214,218201,3882,True,,,,,
215,286003,152077,True,,,,,
216,286003,150856,True,,,,,
217,286014,139385,True,,,,,
218,253066,1358,True,,,,,
219,284577,80489,True,,,,,
220,284577,4776,True,,,,,
221,284577,6,True,,,,,
222,286014,318,True,,,,,
223,253066,318,True,,,,,
224,285919,858,True,,,,,
225,285919,4178,True,,,,,
226,279334,131013,True,,,,,
227,286043,2858,True,P6b41Hs,96V-rAtTMGo,0.0,RatedMovie,2016-05-13 09:33:29
228,286043,55280,True,,,,,
229,286043,8533,True,P6b41Hs,FC6biTjEyZw,3.0,RatedMovie,2016-05-13 11:50:00
230,286043,41285,True,,,,,
231,286043,66203,True,,,,,
232,286043,1923,True,,,,,
233,286009,126548,True,,,,,
234,286009,127108,True,,,,,
235,286009,116855,True,,,,,
236,286009,110461,True,,,,,
237,286009,114265,True,,,,,
238,257324,54503,True,,,,,
239,286054,63131,True,,,,,
240,286054,134393,True,,,,,
241,286054,58998,True,,,,,
242,286054,86833,True,,,,,
243,286054,80241,True,,,,,
244,286054,74946,True,,,,,
245,286054,94266,True,,,,,
246,254429,4034,True,,,,,
247,254429,108709,True,,,,,
248,254429,1266,True,,,,,
249,254429,114060,True,,,,,
250,259008,6711,True,,,,,
251,259008,3160,True,,,,,
252,259008,69757,True,HkTej51,TNEkwcY7OI0,6.0,RatedMovie,2016-05-14 14:32:23
253,242651,113705,True,,,,,
254,242651,105197,True,,,,,
255,242651,99764,True,,,,,
256,242651,113240,True,,,,,
257,242651,102753,True,,,,,
258,242651,113225,True,,,,,
259,242651,101529,True,,,,,
260,242651,134393,True,,,,,
261,277658,104374,True,,,,,
262,277658,140110,True,,,,,
263,277658,31685,True,,,,,
264,277658,88405,True,,,,,
265,277658,5299,True,,,,,
266,277658,7293,True,,,,,
267,283422,4878,True,,,,,
268,283422,1921,True,,,,,
269,283422,2594,True,,,,,
270,283422,2692,True,,,,,
271,283422,79357,True,,,,,
272,283422,3476,True,,,,,
273,283422,8914,True,,,,,
274,283422,2692,True,,,,,
275,283422,8950,True,,,,,
276,283422,54962,True,,,,,
277,283422,89039,True,,,,,
278,283422,114935,True,,,,,
279,283422,2692,True,,,,,
280,283422,148881,True,,,,,
281,283422,55908,True,,,,,
282,283422,8784,True,,,,,
283,283422,2918,True,,,,,
284,283422,8784,True,,,,,
285,253066,89745,True,,,,,
286,217871,94466,True,,,,,
287,278129,6942,True,,,,,
288,278129,80166,True,,,,,
289,278129,70183,True,,,,,
290,278129,7444,True,,,,,
291,286136,139644,True,,,,,
292,278545,30898,True,,,,,
293,253066,4,True,,,,,
294,253066,10,True,,,,,
295,281838,136204,True,,,,,
296,266833,148888,True,,,,,
297,256370,113741,True,,,,,
298,87207,5147,True,,,,,
299,279235,1680,True,,,,,
300,253666,106540,True,,,,,
301,285757,4,True,,,,,
302,258324,4226,True,,,,,
303,285073,1209,True,,,,,
